Language 	precision 	recall	f1-score 	support
ar	0.99	1	1	19484	
arq	0	0	0	44	
az	0.74	0.99	0.85	127	
be	0.86	0.97	0.91	1424	
bg	0.91	0.96	0.93	8714	
bn	1	1	1	336	
bo	0.81	1	0.9	57	
bs	0	0	0	407	
ca	0.62	0.94	0.75	1762	
cs	0.96	0.9	0.93	6743	
da	0.78	0.89	0.83	1953	
de	0.89	0.89	0.89	13939	
el	1	1	1	13459	
en	0.94	0.85	0.89	20000	
eo	0.54	0.87	0.66	682	
es	0.94	0.95	0.95	19826	
et	0.31	0.9	0.47	415	
eu	0.15	0.96	0.26	145	
fa	1	0.99	0.99	15327	
fi	0.82	0.91	0.86	1661	
fr	0.94	0.89	0.92	20180	
gl	0.87	0.82	0.84	3176	
gu	1	0.95	0.97	160	
he	1	1	1	19291	
hi	0.98	0.9	0.93	2961	
hr	0.72	0.6	0.65	7509	
hu	0.98	0.96	0.97	12147	
hy	1	1	1	1200	
id	0.9	0.67	0.77	8450	
it	0.95	0.93	0.94	19175	
ja	1	0.99	0.99	19139	
ka	1	1	1	609	
kk	0.96	0.98	0.97	795	
kn	0.56	1	0.72	138	
ko	1	1	1	19430	
ku	1	0.89	0.94	3614	
lt	0.89	0.93	0.91	2841	
lv	0.95	0.97	0.96	2808	
mk	0.93	0.9	0.91	1990	
ml	1	0.99	1	152	
mn	0.98	0.97	0.97	1539	
mr	0.97	0.95	0.96	1473	
ms	0.08	0.35	0.13	584	
my	0.96	1	0.98	5621	
nb	0.76	0.8	0.78	862	
ne	0.56	0.93	0.7	394	
nl	0.88	0.81	0.84	12789	
pl	0.99	0.97	0.98	16620	
pt	0.97	0.96	0.96	38404	
ro	0.98	0.94	0.96	13988	
ru	0.98	0.94	0.96	19351	
sk	0.85	0.9	0.88	4232	
sl	0.82	0.85	0.83	2754	
sq	0.93	0.92	0.92	1846	
sr	0.83	0.67	0.74	15449	
srp	0.02	0.18	0.03	192	
sv	0.95	0.93	0.94	5941	
sw	0.2	0.86	0.33	138	
ta	1	1	1	282	
te	1	1	1	1190	
th	1	1	1	13292	
tk	0	0	0	29	
tlh	0	0	0	60	
tr	0.99	0.97	0.98	18211	
uk	0.98	0.94	0.96	10257	
ur	0.93	1	0.96	566	
uz	0.35	0.95	0.51	519	
vi	1	0.98	0.99	19009	
zh	1	0.99	0.99	39925
									
									
accuracy			0.93	517787					
weighted	0.95	0.93	0.94	517787					
